Ticker;Asset
ABEV3.SA;AMBEV S/A
AZUL4.SA;AZUL
B3SA3.SA;B3
BBAS3.SA;BRASIL
BBDC3.SA;BRADESCO
BBDC4.SA;BRADESCO
BBSE3.SA;BBSEGURIDADE
BRAP4.SA;BRADESPAR
BRDT3.SA;PETROBRAS BR
BRFS3.SA;BRF SA
BRKM5.SA;BRASKEM
BRML3.SA;BR MALLS PAR
BTOW3.SA;B2W DIGITAL
CCRO3.SA;CCR SA
CIEL3.SA;CIELO
CMIG4.SA;CEMIG
CSAN3.SA;COSAN
CSNA3.SA;SID NACIONAL
CVCB3.SA;CVC BRASIL
CYRE3.SA;CYRELA REALT
ECOR3.SA;ECORODOVIAS
EGIE3.SA;ENGIE BRASIL
ELET3.SA;ELETROBRAS
ELET6.SA;ELETROBRAS
EMBR3.SA;EMBRAER
ENBR3.SA;ENERGIAS BR
EQTL3.SA;EQUATORIAL
FLRY3.SA;FLEURY
GGBR4.SA;GERDAU
GOAU4.SA;GERDAU MET
GOLL4.SA;GOL
HYPE3.SA;HYPERA
IGTA3.SA;IGUATEMI
IRBR3.SA;IRBBRASIL RE
ITSA4.SA;ITAUSA
ITUB4.SA;ITAUUNIBANCO
JBSS3.SA;JBS
KLBN11.SA;KLABIN S/A
COGN3.SA;KROTON
LAME4.SA;LOJAS AMERIC
LREN3.SA;LOJAS RENNER
MGLU3.SA;MAGAZ LUIZA
MRFG3.SA;MARFRIG
MRVE3.SA;MRV
MULT3.SA;MULTIPLAN
PETR3.SA;PETROBRAS
PETR4.SA;PETROBRAS
QUAL3.SA;QUALICORP
RADL3.SA;RAIADROGASIL
RAIL3.SA;RUMO S.A.
RENT3.SA;LOCALIZA
SANB11.SA;SANTANDER BR
SBSP3.SA;SABESP
SMLS3.SA;SMILES
SUZB3.SA;SUZANO S.A.
TIMP3.SA;TIM PART S/A
UGPA3.SA;ULTRAPAR
USIM5.SA;USIMINAS
VALE3.SA;VALE
VIVT4.SA;TELEF BRASIL
VVAR3.SA;VIAVAREJO
WEGE3.SA;WEG
YDUQ3.SA;YDUQS PART
ODPV3.SA;OdontoPrev
PARD3.SA;Hermes Pardini
GRND3.SA;Grendene
ARZZ3.SA;
HGTX3.SA;
GNDI3.SA;
HAPV3.SA;
CRFB3.SA;
TOTS3.SA;
SULA11.SA;
PSSA3.SA;
UGPA3.SA;
EZTC3.SA;
GFSA3.SA;
